FIPS,value
08001,0.80
08003,0.82
08005,0.80
08007,0.60
08009,0.77
08011,0.35
08013,0.98
08014,0.12
08015,0.45
08017,0.17
08019,0.68
08021,0.34
08023,0.41
08025,0.00
08027,0.37
08029,0.91
08031,0.40
08033,0.92
08035,0.80
08037,0.08
08039,0.85
08041,0.63
08043,0.87
08045,0.11
08047,0.50
08049,0.41
08051,0.15
08053,0.50
08055,0.40
08057,0.10
08059,0.25
08061,0.86
08063,0.59
08065,0.63
08067,0.60
08069,0.13
08071,0.40
08073,0.62
08075,0.20
08077,0.58
08079,0.50
08081,0.50
08083,0.35
08085,0.93
08087,0.20
08089,0.56
08091,0.98
08093,0.97
08095,0.20
08097,0.78
08099,0.30
08101,0.50
08103,0.71
08105,0.94
08107,0.73
08109,0.71
08111,0.24
08113,0.72
08115,0.20
08117,0.99
08119,0.18
08121,0.20
08123,0.09
08125,0.20
