FIPS,value
08001,15.02
08035,15.02
08005,15.02
08067,3.00
08007,3.00
08053,-30.00
08079,-30.00
08055,1.00
08071,1.00
08025,2.00
08089,2.00
08075,4.00
08087,4.00
08095,4.00
08115,4.00
08121,4.00
08125,4.00
08003,0.00
08009,1.50
08011,-30.00
08013,10.00
08014,9.00
08015,1.30
08017,-30.00
08019,1.00
08021,-30.00
08023,-30.00
08027,2.00
08029,5.00
08031,6.00
08033,-30.00
08037,3.00
08041,12.00
08039,3.00
08043,4.00
08045,2.00
08047,-30.00
08049,2.00
08051,1.00
08057,3.00
08059,20.00
08061,-30.00
08063,-30.00
08065,-30.00
08069,2.00
08073,1.00
08077,4.00
08081,2.00
08083,1.00
08085,5.00
08091,3.00
08093,1.00
08097,2.00
08099,1.00
08101,4.00
08103,1.00
08105,-30.00
08107,3.00
08109,-30.00
08111,3.00
08113,2.00
08117,3.00
08119,2.00
08123,-30.00
